Costumer_name,Costumer_age,Costumer_email,Costumer_address,Type_situation,Outcome_insurance,Days_to_fix,Active_user,Car_model,Year,Count_claims,Situation_Date,Costumer_id
Kaique Porto,39,miguelsilveira@example.org,"Largo Peixoto, 64
Vila Jardim São José
34298-351 Dias / AC",Collision,APPROVED,79,0,Suzuki Baleno,2023,3,2022-03-01,29
Kaique Porto,39,miguelsilveira@example.org,"Largo Peixoto, 64
Vila Jardim São José
34298-351 Dias / AC",Collision,APPROVED,79,0,Suzuki Baleno,2020,3,2023-05-03,29
Luiz Fernando Dias,21,rafaelalmeida@example.org,"Ladeira de Castro, 16
Carlos Prates
99469651 Pereira / MT",Natural Phenomena,DENIED,25,1,Wiesmann GT MF4,2009,2,2023-09-09,30
Sra. Heloísa Moura,53,da-cunhavalentina@example.com,"Setor Rocha, 78
Vila Aeroporto Jaraguá
62462293 Vieira da Prata / BA",Collision,APPROVED,58,1,Isuzu FTR,2016,1,2022-02-16,31
Dr. Ryan Silva,61,carolinanunes@example.net,"Feira Lara Costa, 93
São João
16233-439 Dias / CE",Collision,DENIED,81,1,Jaguar XE,2023,1,2022-11-08,32
Augusto Gonçalves,65,brunodas-neves@example.org,"Passarela Alves, 25
Vila Primeiro De Maio
91583743 Novaes / SE",Natural Phenomena,DENIED,11,0,Maserati Ghibli,2014 ,2,2022-04-13,33
Dr. Davi Lucca Rocha,34,zmoraes@example.net,"Praça Vitor Hugo Porto, 3
Vila Boa Vista
71762-989 Ribeiro / MS",Robbery,APPROVED,103,0,Tata Motors Altroz,2020,1,2023-05-13,34
Vicente Silva,47,daniela05@example.com,"Vale Ribeiro, 96
Barão Homem De Melo 3ª Seção
55068-744 Jesus / MT",Collision,DENIED,70,0,Porsche Panamera,2020,1,2023-12-24,35
Sra. Larissa Cunha,36,ana-juliasales@example.org,"Viaduto de da Cunha, 42
Vila Betânia
65539176 Silveira / MG",Natural Phenomena,NOT USED,10,1,Alfa Romeo Giulia,2023,1,2023-06-11,36
Anthony Gonçalves,63,wferreira@example.org,"Condomínio de Costela
Minas Caixa
58344-722 Ribeiro Verde / PE",Natural Phenomena,DENIED,12,0,Koenigsegg Agera RS,2015,3,2023-03-17,37
Ana Laura Ribeiro,51,portoeduardo@example.net,"Viaduto Joaquim Aragão, 75
Primeiro De Maio
33430129 Teixeira / PE",Collision,NOT USED,69,1,Lexus NX,2015,1,2023-10-30,38
Luiz Henrique Moura,23,santoslevi@example.org,"Feira Agatha Peixoto, 8
União
99595289 Porto / ES",Fire,NOT USED,101,1,Peugeot 2008,2023,1,2022-12-21,39
Dr. Vitor Gabriel Nunes,65,da-motaamanda@example.org,"Favela das Neves, 32
Laranjeiras
48890-666 Silva / GO",Collision,APPROVED,3,1,Tata Motors Tigor,2017,1,2022-12-21,40
Ana Beatriz da Costa,26,yagogomes@example.net,"Colônia Enzo da Cruz, 24
Nova Granada
78268-120 Rocha / PE",Fire,APPROVED,45,0,Subaru Legacy,2019,1,2023-01-31,41
Daniel Ramos,26,souzaalexandre@example.org,"Vale Clara Caldeira, 74
Olhos D'água
35133-222 Alves de Pires / AC",Natural Phenomena,NOT USED,70,0,SEAT Leon,2023,1,2023-10-06,42
Dra. Eloah Ramos,20,noah07@example.net,"Favela Theo da Conceição, 399
Vila Nova Gameleira 1ª Seção
52437823 Lima / RS",Natural Phenomena,APPROVED,26,0,Toyota Prius,2020,1,2023-04-22,43
Clara Pereira,25,martinsvalentina@example.org,"Condomínio Ramos
Ouro Minas
23117-151 Sales / PA",Collision,DENIED,92,0,Chevrolet Camaro,2010,3,2022-06-23,44
Clara Pereira,25,martinsvalentina@example.org,"Condomínio Ramos
Ouro Minas
23117-151 Sales / PA",Collision,DENIED,92,0,Chevrolet Camaro,2016,3,2023-08-22,44
Isis Santos,59,wda-cunha@example.com,"Viela Viana, 767
Petropolis
95832-120 Lopes da Mata / PI",Robbery,DENIED,88,0,Porsche 718 Boxster,2017,1,2022-05-21,45
Dra. Maria Luiza da Rocha,40,ana-vitoria47@example.org,"Rodovia de da Cunha, 888
Eymard
99405542 da Rosa da Praia / RO",Natural Phenomena,APPROVED,71,0,Skoda Scala,2023,1,2023-10-23,46
Maria Fernanda Novaes,57,bjesus@example.com,"Estação Rodrigo Dias, 388
Vila Nova Gameleira 1ª Seção
73715-700 Silveira / AP",Robbery,DENIED,81,0,Mercedes-Benz C-Class,2022,1,2023-12-24,47
Luiz Otávio Viana,48,carolineda-rocha@example.net,"Jardim Lavínia da Rocha, 10
Palmares
87444-136 Cavalcanti do Campo / ES",Collision,DENIED,107,1,Nissan Murano,2019,1,2023-08-06,48
Nathan Lopes,62,bpeixoto@example.net,"Rodovia Vieira
Vila Antena
98729271 Araújo / CE",Collision,NOT USED,46,1,Opel/Vauxhall Combo,2023,1,2023-01-17,49
Melissa Monteiro,56,emanuella44@example.com,"Trecho Dias, 126
Sport Club
79349-750 Dias / PB",Robbery,APPROVED,49,1,Lamborghini Miura,1966,1,2023-02-27,50
Levi Correia,70,hfreitas@example.com,"Vila Monteiro, 11
Colégio Batista
31757-457 Campos / CE",Natural Phenomena,NOT USED,8,1,Caterham Seven 270,2023,2,2023-05-14,51
Alexia Sales,66,luiz-henrique26@example.org,"Estação Luigi Dias, 3
Vila Jardim Montanhes
62626-335 Santos da Prata / RN",Natural Phenomena,DENIED,31,0,Honda NSX,2016,1,2023-11-08,52
Bernardo Sales,55,maria-alicecosta@example.org,"Avenida de Dias, 929
Marçola
30770-954 Ribeiro / RJ",Fire,DENIED,74,1,Polestar Polestar 1,2021,1,2022-06-10,53
Maysa da Paz,27,barroslucas-gabriel@example.org,"Avenida de Teixeira
Vila Minaslandia
15149-823 Azevedo das Flores / BA",Natural Phenomena,NOT USED,4,0,Audi Q5,2018,1,2022-06-24,54
Alana Nunes,50,da-costalevi@example.com,"Largo Lopes, 19
Rio Branco
06325-973 da Mata da Serra / BA",Natural Phenomena,NOT USED,5,0,Jaguar XF,2023,1,2023-03-28,55
Miguel da Conceição,64,ana-laura93@example.com,"Condomínio Calebe Correia, 869
Monte Azul
60293-508 da Paz da Prata / MS",Fire,APPROVED,62,0,McLaren 570GT,2017,1,2022-11-10,56
Antônio Silveira,45,varagao@example.org,"Chácara de Ribeiro, 24
Dom Silverio
60056-593 Rezende / BA",Robbery,DENIED,89,1,Nissan GT-R,2019,1,2023-07-14,57
Emanuel Souza,69,silveiraana-carolina@example.com,"Rodovia Gustavo da Cruz, 68
Conjunto Lagoa
57649-299 Moreira Alegre / TO",Fire,DENIED,54,0,Lamborghini Miura,1966,1,2023-08-21,58
João Vitor da Cruz,34,mariane26@example.net,"Lagoa de Caldeira, 55
Castanheira
22152144 Costela Verde / CE",Fire,NOT USED,28,0,Cadillac CT5-V Blackwing,2023,1,2023-04-22,59
Bryan Caldeira,31,lorenzo91@example.net,"Lago Maitê Jesus, 91
Vila Santo Antônio Barroquinha
42687-657 Fernandes / GO",Robbery,NOT USED,89,0,Zagato Bentley Flying Spur Zagato,2012,1,2023-08-11,60
Alexandre Cunha,56,pedro-henriqueoliveira@example.net,"Conjunto da Paz
Ouro Minas
27373715 Monteiro / MS",Fire,DENIED,72,0,Kia Stinger,2018 ,1,2023-10-22,61
Ana Vitória Farias,37,ada-mata@example.org,"Pátio de Porto, 69
Vila Cloris
43768270 Aragão / TO",Fire,APPROVED,57,0,Cadillac XT6,2023,1,2023-06-23,62
Maria Sophia da Conceição,52,fariasdavi-luiz@example.com,"Chácara Costela, 3
Saudade
59454-803 Rezende de Porto / SC",Fire,DENIED,80,0,Wiesmann MF5,2005,1,2022-05-17,63
Ian Rodrigues,44,maria-sophiaoliveira@example.com,"Pátio de das Neves, 7
Parque São José
75550-458 da Paz de Goiás / RO",Natural Phenomena,NOT USED,41,1,Koenigsegg Regera,2016,1,2023-03-28,64
Gustavo Silveira,20,rsilveira@example.net,"Alameda de Nogueira, 521
Candelaria
14920-106 da Cunha / TO",Natural Phenomena,DENIED,47,0,Honda Insight,2023,1,2022-10-19,65
Maitê Novaes,24,maria-julia30@example.net,"Chácara Alice Aragão, 65
Cinquentenário
25864748 Barros / RO",Natural Phenomena,APPROVED,40,1,Peugeot 508,2023,1,2022-02-16,66
Thomas Moraes,54,benjaminaraujo@example.org,"Rua Peixoto, 68
Vila Suzana Segunda Seção
09735825 da Luz / TO",Robbery,NOT USED,19,1,BMW 530i Sedan,2020,2,2023-05-27,67
Fernanda Lopes,63,xcaldeira@example.com,"Trevo de Rezende
Estrela
85684-768 Silva / MG",Robbery,DENIED,66,0,Citroën C3,2023,1,2022-03-27,68
Caio Barros,31,rezendecaue@example.net,"Área Pedro Lucas Ramos, 33
Taquaril
54818-048 Araújo / SP",Fire,NOT USED,35,0,Ferrari 812 Superfast,2018 ,1,2022-06-06,69
Sr. Davi Luiz Rodrigues,34,gustavo-henrique95@example.org,"Travessa Gomes, 4
Marieta 2ª Seção
76061681 da Cruz do Campo / PA",Fire,APPROVED,86,0,Skoda Fabia,2023,1,2023-11-16,70
Miguel Pinto,33,da-cunhabianca@example.org,"Loteamento Martins, 3
Conjunto Jatoba
99806689 Fogaça Grande / PE",Natural Phenomena,DENIED,44,1,Ferrari 488 GTB,2016 ,1,2022-03-20,71
Luiz Fernando Gonçalves,39,wmoreira@example.com,"Viaduto Theo Peixoto, 91
Tupi B
77419-270 Santos / SP",Natural Phenomena,APPROVED,56,0,Cadillac CT5-V,2023,1,2023-01-01,72
Rebeca Teixeira,42,raulpinto@example.org,"Lago de Cardoso, 5
Olhos D'água
03810276 Oliveira / RS",Collision,DENIED,13,0,Mahindra Bolero,2001 ,1,2023-03-01,73
Dr. Rafael da Cunha,64,joao-vitorsouza@example.org,"Distrito de Costela, 27
Antonio Ribeiro De Abreu 1ª Seção
97844423 da Cunha / RN",Natural Phenomena,DENIED,54,1,Lamborghini Aventador,2011,1,2023-11-13,74
João Gabriel Lopes,57,abarros@example.org,"Via de Silva, 42
Vila São Gabriel
79460873 Jesus dos Dourados / DF",Robbery,NOT USED,32,0,Citroën C3 Aircross,2023,1,2023-06-01,75
Gabriela Castro,69,pedroda-costa@example.net,"Campo de Barros, 26
Nossa Senhora Do Rosário
22630-951 da Rocha de Almeida / PB",Collision,NOT USED,20,0,Lucid Motors Lucid Air Dream Edition Performance,2022,1,2022-05-04,76
Cauã Moraes,21,ramosemilly@example.org,"Parque Felipe Moreira, 67
Silveira
96257385 Silveira da Praia / MS",Fire,NOT USED,50,0,Pagani Huayra R,2017,1,2022-05-10,77
Ana Luiza Ramos,64,joao-pedrocostela@example.net,"Praia de da Rosa, 98
São Vicente
76103971 da Mata / AC",Collision,NOT USED,110,0,Lucid Motors Lucid Air,2022,1,2023-05-09,78
Dr. Lorenzo Moreira,42,heitor23@example.net,"Recanto Vitor Gabriel Moura, 11
Delta
42727-076 Freitas de Vieira / MS",Collision,APPROVED,109,0,Lotus Evija,2023,1,2022-07-08,79
Dra. Marcela da Paz,56,dpires@example.org,"Residencial Camila Carvalho
Alta Tensão 2ª Seção
15094-057 Oliveira de Barbosa / BA",Collision,APPROVED,50,1,Tata Motors Thar,2020,1,2023-07-18,80
Isabella Araújo,24,cavalcantiyasmin@example.net,"Sítio Ferreira, 71
Juliana
87022603 da Costa / RN",Robbery,NOT USED,95,1,Lamborghini Murciélago,2001,1,2023-07-23,81
Maria Sophia Correia,60,cpeixoto@example.org,"Trecho de Peixoto
Santa Cruz
30635-032 Fernandes / AL",Natural Phenomena,DENIED,106,1,Ford Ranger,2019,1,2022-07-31,82
Lara Azevedo,44,joana36@example.net,"Vale de da Rosa, 9
Serra Verde
60302-471 da Paz de Porto / AC",Natural Phenomena,DENIED,70,1,Dodge Charger,2023,1,2023-04-14,83
Melissa Moraes,45,natalia39@example.com,"Trecho de Duarte
Vila Dos Anjos
57221652 Almeida / AP",Natural Phenomena,APPROVED,74,1,Ram 1500,2023,1,2022-09-07,84
Esther Novaes,59,ana04@example.com,"Trecho Isabelly Gomes, 79
Palmeiras
40489-611 Dias da Prata / MS",Natural Phenomena,DENIED,88,0,Chrysler Pacifica,2023,1,2022-10-23,85
Thiago da Conceição,66,juliagoncalves@example.net,"Esplanada Jesus, 275
Alpes
89808632 Gonçalves / AP",Fire,APPROVED,82,0,Lexus LX,1996,1,2023-04-11,86
Valentina Costela,44,joao-guilherme56@example.org,"Campo Cardoso, 529
Bandeirantes
33686623 Dias de Pereira / MS",Robbery,APPROVED,102,0,Koenigsegg Gemera,2022,2,2022-09-13,87
André Azevedo,36,wrodrigues@example.net,"Praça Melo, 47
Jardim Do Vale
17210676 Farias de Gomes / AP",Natural Phenomena,NOT USED,63,1,Chrysler Voyager,2023,3,2023-09-02,88
Luiz Fernando da Mata,65,leticianunes@example.org,"Área Nicole Jesus
Nova Suíça
15453414 Santos de da Rocha / ES",Fire,DENIED,17,1,Infiniti Q50,2023,1,2022-04-30,89
Leonardo Barros,49,rebecarezende@example.org,"Vila da Cunha
Serra Verde
94767-629 Santos das Pedras / PA",Natural Phenomena,NOT USED,82,1,Dodge RAM 2500,2023,1,2022-11-02,90
Raquel Silveira,37,sophia40@example.net,"Rua Yuri Gonçalves, 402
Diamante
78613-101 Nascimento / PR",Natural Phenomena,APPROVED,26,0,Kia Soul,2020 ,1,2022-11-12,91
Larissa Castro,35,cecilianascimento@example.org,"Núcleo Farias, 37
Mirante
46511160 Moreira de Oliveira / MG",Robbery,APPROVED,12,0,Mercedes-Benz E-Class,2022,1,2022-05-01,92
Dr. Augusto Nunes,24,cbarbosa@example.net,"Condomínio de da Rosa, 555
Lorena
55886-432 Mendes do Oeste / DF",Collision,NOT USED,5,0,Cadillac CT4,2023,1,2022-04-16,93
Clara da Mata,40,yasminmoreira@example.com,"Viela Martins, 363
Vila Independencia 2ª Seção
35724905 Fernandes da Serra / RR",Fire,NOT USED,78,1,Mazda MX-5,2019,1,2023-02-18,94
Dra. Isabella Cardoso,47,ribeiroana-julia@example.com,"Feira Rocha, 81
Fernão Dias
04989-495 Costela Paulista / RO",Robbery,DENIED,52,0,Lamborghini Countach,1974,1,2022-01-30,95
Maitê Cardoso,57,rafael47@example.net,"Estrada João Mendes, 696
Bacurau
90908-864 Viana / AL",Natural Phenomena,APPROVED,20,0,Chevrolet Camaro,2010,4,2022-12-06,96
Maitê Cardoso,57,rafael47@example.net,"Estrada João Mendes, 696
Bacurau
90908-864 Viana / AL",Natural Phenomena,APPROVED,20,0,Chevrolet Camaro,2016,4,2022-01-09,96
Miguel Silva,36,pintomanuela@example.org,"Chácara Luiz Otávio Gonçalves, 9
Frei Leopoldo
00894-201 Sales / BA",Natural Phenomena,DENIED,54,0,Pagani Huayra,2011,1,2022-12-16,97
Carolina Castro,64,nathancunha@example.com,"Campo de Ribeiro
Vila Jardim Leblon
38170-098 Mendes do Amparo / AP",Fire,NOT USED,97,0,Wiesmann Roadster MF4,2009,1,2022-10-03,98
Nina Barros,43,carvalholucas-gabriel@example.net,"Trevo de Monteiro, 42
Prado
84852856 Jesus / PA",Natural Phenomena,NOT USED,85,0,Honda NSX,2016,1,2023-03-24,99
Sr. Calebe da Mota,37,da-conceicaoraquel@example.org,"Parque Eduardo Lopes, 9
Bonsucesso
07468331 Barbosa do Norte / RS",Fire,APPROVED,45,0,Smart Forfour,2023,1,2023-09-21,100
Heitor da Costa,52,mariafogaca@example.net,"Trevo de Moreira, 95
Carmo
45854-668 Azevedo / MA",Natural Phenomena,NOT USED,86,1,Porsche Panamera,2020,1,2022-01-22,101
Rodrigo Gonçalves,45,thales43@example.com,"Setor Ribeiro, 76
Vila Madre Gertrudes 3ª Seção
62762-335 da Conceição / AC",Natural Phenomena,NOT USED,107,0,Toyota Corolla,2019,2,2022-10-18,102
Rodrigo Gonçalves,45,thales43@example.com,"Setor Ribeiro, 76
Vila Madre Gertrudes 3ª Seção
62762-335 da Conceição / AC",Natural Phenomena,NOT USED,107,0,Toyota Corolla,2020,2,2023-06-19,102
Paulo Araújo,63,enzocorreia@example.com,"Viela André Cavalcanti
Vila Real 1ª Seção
31906269 Fogaça / RJ",Natural Phenomena,NOT USED,101,1,Alpina B7,2023,1,2022-08-23,103
Dr. Ian da Luz,32,dcardoso@example.com,"Sítio Mariane da Rocha, 941
Vila Nova Gameleira 1ª Seção
29361662 Lopes / PA",Natural Phenomena,NOT USED,16,0,Pagani Zonda,1999,1,2023-04-09,104
Luiz Otávio Gonçalves,37,pedro67@example.com,"Quadra Almeida, 65
Bonfim
56954-313 Lopes / RJ",Natural Phenomena,NOT USED,42,0,Tata Motors Altroz,2020,1,2022-04-27,105
Alexia Alves,49,gomesmaysa@example.org,"Praça Moraes, 96
Pantanal
14504-391 Castro / BA",Robbery,NOT USED,86,0,Peugeot 508,2023,1,2022-04-15,106
Augusto Teixeira,37,gpinto@example.net,"Sítio de da Rosa, 997
Ventosa
45742-328 Silveira / BA",Collision,DENIED,27,0,Ford Escape,2015,1,2022-03-16,107
Dr. Igor da Cruz,30,rezendesarah@example.com,"Sítio Vieira, 7
Vila Califórnia
98415-092 da Costa da Prata / SC",Robbery,APPROVED,23,1,Mazda MX-5,2019,1,2022-04-30,108
Dr. João Pedro Silveira,23,arthurnovaes@example.com,"Chácara Vitória Nascimento, 36
Santa Sofia
68883-620 da Rosa do Norte / RR",Collision,NOT USED,103,0,Toyota Tacoma,2019,2,2023-06-02,109
Dr. João Pedro Silveira,23,arthurnovaes@example.com,"Chácara Vitória Nascimento, 36
Santa Sofia
68883-620 da Rosa do Norte / RR",Collision,NOT USED,103,0,Toyota Tacoma,2020,2,2022-02-17,109
Nathan Moura,58,joaoalmeida@example.org,"Colônia de Pereira, 31
Barreiro
84621-989 Pereira de Goiás / DF",Collision,APPROVED,103,0,Land Rover Discovery,2023,1,2022-07-12,110
Thiago Sales,30,ncarvalho@example.com,"Esplanada Moura, 37
Bernadete
32581-828 Nascimento de Azevedo / AP",Collision,NOT USED,90,0,Saab 9-5 SportCombi,2011,1,2022-04-02,111
Sophie Campos,33,caldeiracatarina@example.org,"Praia de da Mota, 2
Canadá
68495-915 Rodrigues do Amparo / RS",Natural Phenomena,APPROVED,13,0,Nissan Versa,2019,1,2022-10-08,112
Maria Sophia Pinto,44,vianastella@example.org,"Feira Pedro Miguel das Neves, 95
Nova Floresta
35697512 das Neves Paulista / AC",Fire,DENIED,27,0,Volvo Polestar 2,2023,1,2022-02-13,113
Alexandre Novaes,21,nogueiraalexia@example.net,"Pátio Pedro Miguel Oliveira, 12
Vila Barragem Santa Lúcia
30581040 Costa do Oeste / DF",Natural Phenomena,DENIED,20,0,Volvo XC90,2023,1,2022-10-23,114
Luiz Gustavo Barbosa,40,ceciliamoura@example.net,"Setor Oliveira, 4
Vila Maloca
88003-913 da Mata da Prata / AC",Natural Phenomena,DENIED,110,1,Lucid Motors Lucid Air,2022,1,2023-10-29,115
João Lucas Barbosa,22,barrosjoana@example.com,"Estação Vitor Gabriel Cunha, 46
Álvaro Camargos
02234496 da Cunha / AM",Natural Phenomena,APPROVED,100,1,Rolls-Royce Ghost,2010,1,2022-04-30,116
Srta. Natália Mendes,48,nicole99@example.org,"Vila Luna Pereira, 8
Leonina
50024-419 Rezende da Mata / CE",Collision,NOT USED,97,0,Mini Clubman,2023,1,2023-06-01,117
Stephany Moraes,69,luizada-cunha@example.org,"Chácara de Pereira, 74
Padre Eustáquio
34480166 da Mota das Pedras / RN",Robbery,NOT USED,27,0,Lexus IS,1998,1,2022-09-16,118
Letícia Araújo,25,cramos@example.org,"Campo de Pinto, 150
Madre Gertrudes
44395-898 da Rocha / RJ",Robbery,APPROVED,92,0,Renault Zoe,2023,2,2022-12-28,119
Letícia Araújo,25,cramos@example.org,"Campo de Pinto, 150
Madre Gertrudes
44395-898 da Rocha / RJ",Robbery,APPROVED,92,0,Renault Zoe,2013,2,2022-12-10,119
Isabella Alves,34,silvaluna@example.com,"Estrada de Novaes, 15
São Cristóvão
96942557 Alves / MA",Collision,NOT USED,42,1,Porsche 718 Boxster,2017,1,2022-11-24,120
Daniel Moreira,43,nunespedro@example.org,"Via Cardoso, 13
Dom Cabral
74112129 Martins / MA",Fire,NOT USED,38,1,Peugeot 3008,2023,1,2022-10-05,121
Breno Ribeiro,47,barrossofia@example.net,"Rua Nunes, 96
Vista Do Sol
84519981 Ribeiro / TO",Fire,DENIED,101,0,Ferrari California T,2015 ,2,2023-08-26,122
Heitor Araújo,67,qvieira@example.net,"Alameda Nunes, 84
Santa Amelia
82234-310 Silveira / MG",Natural Phenomena,NOT USED,45,0,Pagani Huayra R,2017,1,2022-01-28,123
João Guilherme da Mota,30,diogo26@example.org,"Recanto de Moraes, 76
Nova Suíça
30389-041 da Mota da Praia / RO",Collision,APPROVED,6,0,Koenigsegg CCXR,2007,1,2023-04-08,124
Luiza Jesus,26,carolinacarvalho@example.net,"Vale Barbosa
Vila Oeste
94118-743 da Luz / PR",Robbery,DENIED,61,0,Zagato Bentley Flying Spur Zagato,2012,1,2022-06-04,125
Alexia Araújo,46,bcastro@example.com,"Rua Luiz Miguel Santos, 233
Nova Pampulha
53381-694 Nogueira de Minas / RN",Fire,DENIED,26,1,SEAT Mii,2023,1,2023-02-15,126
Giovanna Dias,54,joao00@example.net,"Estação Rafael Correia, 24
Santa Inês
57263-924 Nogueira de Goiás / BA",Collision,APPROVED,36,0,Land Rover Range Rover Evoque,2023,1,2022-12-14,127
Eloah Viana,53,gabrielamonteiro@example.org,"Pátio Joaquim da Mata, 97
Vila Piratininga
88632600 Mendes / MS",Natural Phenomena,NOT USED,74,1,Chevrolet Bolt EV,2017,1,2023-04-22,128
Sr. Raul Cardoso,58,emanuellada-mota@example.org,"Conjunto de Nascimento, 90
Grotinha
69429372 Ferreira Paulista / AP",Natural Phenomena,NOT USED,79,1,Cadillac CT5-V Blackwing,2023,1,2023-04-21,129
